stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
24,1,1.0,24.712260300002526,,24.696526900006575,24.712260300002526,25.196375200001057,25.196375200001057,25.212672399997246,25.495971600001212,25.814899699995294,right,1.0,1,1,0.6086802999925567,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
25,1,1.0,25.829721300004167,,25.81497870000021,25.829721300004167,26.330435600000783,26.330435600000783,26.330435600000783,26.630618299997877,27.08292380000057,right,1.0,1,1,0.7367100999981631,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
26,0.5,1.0,27.097865899995668,,27.082996500001173,27.097865899995668,27.58206380000047,27.58206380000047,27.598817999998573,27.882064100005664,28.4506693000003,right,1.0,0,0,0.8624849000043469,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
27,0.5,1.5,28.466472600004636,,28.4507375999965,28.466472600004636,28.967583699995885,28.967583699995885,28.967583699995885,29.26708220000728,29.6018677999964,right,1.5,1,1,0.6259526000067126,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
28,0.5,1.5,29.61753200000385,,29.60200939999777,29.61753200000385,30.11777749999601,30.11777749999601,30.11777749999601,30.4180486999976,30.619479200002388,left,-1.5,1,1,0.488092500003404,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
29,0.5,1.5,30.635107199996128,,30.619547800000873,30.635107199996128,31.11898569999903,31.11898569999903,31.13581809999596,31.419229799997993,31.57065270000021,left,-1.5,0,0,0.43585380000877194,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
30,0.5,2.0,31.586391699995147,,31.57071869999345,31.586391699995147,32.07006630000251,32.07006630000251,32.08702360000461,32.3704177000036,32.605429799994454,left,-2.0,1,1,0.5331367000035243,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
31,0.5,2.0,32.62071139999898,,32.60557990000234,32.62071139999898,33.104740599999786,33.104740599999786,33.121551300006104,33.40494609999587,33.523554300001706,right,2.0,1,1,0.40583100001094863,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
32,0.5,2.0,33.53822289999516,,33.5236212000018,33.53822289999516,34.039064299999154,34.039064299999154,34.039064299999154,34.339510699996026,34.45728560000134,right,2.0,0,0,0.41236960000242107,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
33,0.5,2.5,34.47267770000326,,34.4573534999945,34.47267770000326,34.95663099999365,34.95663099999365,34.97338480000326,35.257119000001694,35.5588820999983,right,2.5,1,1,0.600726399992709,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
34,0.5,2.5,35.57379340000625,,35.558947700003046,35.57379340000625,36.07465759999468,36.07465759999468,36.07465759999468,36.37477300000319,36.5761971000029,right,2.5,1,1,0.49472099999547936,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
35,0.5,2.5,36.59139359999972,,36.57630169999902,36.59139359999972,37.075568200001726,37.075568200001726,37.09245969999756,37.37586739999824,37.878624100005254,left,-2.5,1,1,0.7993019999994431,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
36,0.5,2.0,37.89294150000205,,37.87870990000374,37.89294150000205,38.39375299999665,38.39375299999665,38.39375299999665,38.69397449999815,39.512749300003634,left,-2.0,1,1,1.1114011000026949,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
37,0.5,2.0,39.52832660000422,,39.51281889999518,39.52832660000422,40.01228799999808,40.01228799999808,40.02896409999812,40.31306840000616,40.513857600002666,left,-2.0,1,1,0.4961687000031816,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
38,0.5,2.0,40.52949159999844,,40.51392169999599,40.52949159999844,41.01319220000005,41.01319220000005,41.03013080000528,41.31332719999773,41.765167200006545,right,2.0,1,1,0.7430794999963837,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
39,0.5,1.5,41.78090519999387,,41.765239200001815,41.78090519999387,42.26454669999657,42.26454669999657,42.281409600007464,42.56522550000227,42.966730400003144,right,1.5,1,1,0.6988087999925483,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
40,0.5,1.5,42.98220749999746,,42.96679380000569,42.98220749999746,43.46583570000075,43.46583570000075,43.48263250000309,43.76595420000376,44.01811689999886,left,-1.5,1,1,0.5470108000008622,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
41,0.5,1.5,44.034122600001865,,44.01820390000648,44.034122600001865,44.533696300000884,44.533696300000884,44.533696300000884,44.83418439999514,44.98529100000451,right,1.5,0,0,0.4466199000016786,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
42,0.5,2.0,45.00096800000756,,44.985369300004095,45.00096800000756,45.48519930000475,45.48519930000475,45.50118130000192,45.784951299996465,46.05411729999469,right,2.0,1,1,0.5653847999928985,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
43,0.5,2.0,46.068625800005975,,46.054214200004935,46.068625800005975,46.56936740000674,46.56936740000674,46.56936740000674,46.86970160000783,47.02125309999974,left,-2.0,1,1,0.44427880000148434,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
44,0.5,2.0,47.03654749999987,,47.02133370000229,47.03654749999987,47.53729849999945,47.53729849999945,47.53729849999945,47.83725979999872,48.38926549999451,right,2.0,1,1,0.837442000003648,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
45,0.5,1.5,48.40450370000326,,48.3893323999946,48.40450370000326,48.88853710000694,48.88853710000694,48.90527580000344,49.18934729999455,49.5913256000058,right,1.5,0,0,0.6939433999941684,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
46,0.5,2.0,49.6058297999989,,49.59142579999752,49.6058297999989,50.106912200004444,50.106912200004444,50.106912200004444,50.40715660000569,50.60764960000233,left,-2.0,1,1,0.4940523000113899,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
